id,name,seo,url,query,situation,style,color,composition,original,season
8126,Блузки и рубашки, Женские блузки и рубашки, https://www.wildberries.ru/catalog/zhenshchinam/odezhda/bluzki-i-rubashki,cat=8126,"Прогулка в городе,Работа в офисе,Свидание,Театр","Классический,Элегантный", , , ,
8127,Брюки,Женские брюки,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/bryuki-i-shorty,cat=8127,"Прогулка в городе, Работа в офисе, Свидание,Театр", "Классический,Элегантный", , , ,
63010,Верхняя одежда,Верхняя женская одежда,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/verhnyaya-odezhda,cat=63010, ,"Повседневный,Классический", , , ,
8130,"Джемперы, водолазки и кардиганы",Женские джемперы и кардиганы,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/dzhempery-i-kardigany,cat=8130,"Прогулка в городе, Работа в офисе, Свидание","Классический,Повседневный", , , ,
8131,Джинсы,Женские джинсы и джеггинсы,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/dzhinsy-dzhegginsy,cat=8131,"Прогулка в городе, Прогулка на природе",Повседневный, , , , ,
8133,Комбинезоны,Комбинезоны и полукомбинезоны женские,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/kombinezony-polukombinezony,cat=8133, , , , , ,
8134,Костюм,Женские костюмы,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/kostyumy,cat=8134,"Прогулка на природе, Спортзал, Дом", "Повседневный,Спортивный,Домашний", , , ,
9411,Лонгсливы,Лонгсливы женские,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/longslivy,cat=9411,"Прогулка в городе, Прогулка на природе, Дом","Повседневный,Домашний", , , ,
8136,"Пиджаки, жилеты и жакеты",Женские пиджаки и жакеты,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/pidzhaki-i-zhakety,cat=8136,"Прогулка в городе, Работа в офисе","Классический,Элегантный", , , ,
8137,Платья и сарафаны,Женские платья,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/platya,cat=8137,"Прогулка в городе, Работа в офисе, Свидание, Театр","Классический,Элегантный", , , ,
8140,"Толстовки, свитшоты и худи",Толстовки женские,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/tolstovki,cat=8140,"Прогулка в городе, Прогулка на природе, Спортзал, Дом","Повседневный,Спортивный,Домашний", , , ,
8141,Туники,Туники женские,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/tuniki,cat=8141,"Дом","Домашний", , , ,
8142,Футболки и топы,Женские футболки и топы,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/futbolki-i-topy,cat=8142, , , , , ,
128996,Халаты,Женские халаты,https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-doma/halaty,cat=128996,"Дом",Домашний, , , ,
10567,Шорты,Шорты женские,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/bryuki-i-shorty/shorty,cat=10567,"Прогулка в городе, Спортзал, Дом", "Спортивный, Домашний", , , ,
131289,Юбки,Женские юбки,https://www.wildberries.ru/catalog/zhenshchinam/odezhda/yubki,cat=131289,"Прогулка в городе,Работа в офисе,Театр","Классический,Элегантный", , , ,
10044,Купальники,Женские купальники,https://www.wildberries.ru/catalog/zhenshchinam/kupalniki,cat=10044,"Бассейн",Пляжный, , , ,